,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
378,379,Спортивный комплекс с бассейном МССУОР № 1,Восточный административный округ,район Восточное Измайлово,"16-я Парковая улица, дом 17, строение 1",(499) 461-07-01,55.797524275,37.821581135,бассейн плавательный 25-метровый крытый,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,pool_close
379,380,"Спортивный комплекс Российского государственного университета физической культуры, спорта, молодежи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 2, строение 1А",(499) 166-89-45,55.799884146,37.75561079,"бассейн плавательный 25-метровый крытый №2, «Бассейн детский»",07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
380,381,"Спортивный комплекс Российского государственного университета физической культуры, спорта, молодежи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 2, строение 1А",(499) 166-89-45,55.799796517,37.755203094,бассейн плавательный 50-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
381,382,"Спортивный комплекс Российского государственного университета физической культуры, спорта, молодежи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 2, строение 1А",(499) 166-89-45,55.800041273,37.755782451,"бассейн плавательный 25-метровый крытый №1, «Бассейн прыжковый 25м»",07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
382,383,Спортивный комплекс образовательного учреждения,Восточный административный округ,район Вешняки,"Косинская улица, дом 24А",(499) 374-77-44,55.718651052,37.830180315,бассейн плавательный 25-метровый крытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,закрыто,закрыто,pool_close
383,384,Фитнес-клуб «Бионика (Зебра) Лефортово»,Юго-Восточный административный округ,район Лефортово,"улица Золоторожский Вал, дом 11, строение 27",(495) 175-25-55,55.748997333,37.700454959,бассейн плавательный площадью более 60 кв. м крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
384,385,Фитнес-клуб «Бионика (Зебра) Лефортово»,Юго-Восточный административный округ,район Лефортово,"улица Золоторожский Вал, дом 11, строение 27",(495) 175-25-55,55.74900641,37.700437525,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
385,386,Фитнес-клуб «Бионика (Зебра) Лефортово»,Юго-Восточный административный округ,район Лефортово,"улица Золоторожский Вал, дом 11, строение 27",(495) 175-25-55,55.749063897,37.700354377,бассейн плавательный 50-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
386,387,Фитнес-клуб «Бионика (Зебра)» Профсоюзная,Юго-Западный административный округ,Обручевский район,"Профсоюзная улица, дом 76",(495) 150-66-76,55.661545413,37.543259593,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
387,388,Фитнес-клуб «Ворлд класс» Аминьевский,Западный административный округ,район Очаково-Матвеевское,"Аминьевское шоссе, дом 7",(495) 135-11-49,55.707209307,37.457295318,бассейн плавательный 25-метровый крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-23:55,09:00-23:55,pool_close
